Epoch,Loss,Accuracy
1,2.479330062866211,0.29296875
2,1.89601731300354,0.466796875
3,1.5877265930175781,0.556640625
4,1.3949294090270996,0.5771484375
5,1.2766615152359009,0.6025390625
6,1.2000102996826172,0.625
7,1.1388335227966309,0.642578125
8,1.1018288135528564,0.6435546875
9,1.0469928979873657,0.662109375
10,1.0039780139923096,0.6708984375
11,0.990885853767395,0.6767578125
12,0.932134747505188,0.6962890625
13,0.9062310457229614,0.7080078125
14,0.872238039970398,0.7353515625
15,0.8682113885879517,0.7158203125
16,0.83684241771698,0.734375
17,0.8196684718132019,0.7373046875
18,0.7897651195526123,0.7529296875
19,0.7911216020584106,0.740234375
20,0.775580644607544,0.7353515625
21,0.7382253408432007,0.7578125
22,0.7352846264839172,0.7724609375
23,0.7103043794631958,0.7744140625
24,0.7015911340713501,0.7734375
25,0.6760673522949219,0.7841796875
26,0.6701560616493225,0.779296875
27,0.6679682731628418,0.7841796875
28,0.6368862390518188,0.79296875
29,0.6050641536712646,0.80078125
30,0.628175675868988,0.806640625
31,0.605047345161438,0.8017578125
32,0.5704851150512695,0.794921875
33,0.5398121476173401,0.8369140625
34,0.5781227946281433,0.8046875
35,0.5397500991821289,0.826171875
36,0.5279735922813416,0.8232421875
37,0.5426386594772339,0.8330078125
38,0.5303499698638916,0.8291015625
39,0.5313237905502319,0.818359375
40,0.4952891767024994,0.828125
41,0.4810912013053894,0.8427734375
42,0.48444437980651855,0.84375
43,0.48020803928375244,0.85546875
44,0.47404390573501587,0.8388671875
45,0.45407551527023315,0.86328125
46,0.4610823094844818,0.8447265625
47,0.4514026939868927,0.8447265625
48,0.4290565252304077,0.8544921875
49,0.44290411472320557,0.8515625
50,0.4259870946407318,0.861328125
51,0.4203912615776062,0.86328125
52,0.4199985861778259,0.8515625
53,0.42970845103263855,0.859375
54,0.3840467035770416,0.869140625
55,0.3943158984184265,0.8828125
56,0.40057894587516785,0.869140625
57,0.4184454679489136,0.8701171875
58,0.36612215638160706,0.876953125
59,0.3817061185836792,0.87109375
60,0.3772682547569275,0.87890625
61,0.3714241683483124,0.8837890625
62,0.3581814765930176,0.8798828125
63,0.35831692814826965,0.88671875
64,0.361237108707428,0.875
65,0.35752376914024353,0.8720703125
66,0.3631848692893982,0.8720703125
67,0.3527907729148865,0.8837890625
68,0.33926206827163696,0.8828125
69,0.3269650936126709,0.890625
70,0.3547663688659668,0.8779296875
71,0.3471836745738983,0.876953125
72,0.33300310373306274,0.88671875
73,0.3341537117958069,0.880859375
74,0.31522637605667114,0.892578125
75,0.36921384930610657,0.8720703125
76,0.31546229124069214,0.8876953125
77,0.3222849369049072,0.8876953125
78,0.30856648087501526,0.892578125
79,0.3360184133052826,0.888671875
80,0.29568159580230713,0.888671875
81,0.33237791061401367,0.892578125
82,0.30417394638061523,0.90234375
83,0.3030518591403961,0.8984375
84,0.3280009627342224,0.89453125
85,0.31465235352516174,0.892578125
86,0.31623151898384094,0.900390625
87,0.3081234097480774,0.900390625
88,0.31139490008354187,0.896484375
89,0.29785650968551636,0.90625
90,0.322087824344635,0.8994140625
